"","POVST","Q1A","Q1B","Q1C","Q1D"
"782","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"783","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"784","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"785","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"786","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"787","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"788","(2) 26 to 50 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"789","(4) 76 percent or more","(1) Every day","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"790","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"791","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"792","(2) 26 to 50 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"793","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"794","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"795","(4) 76 percent or more","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"796","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"797","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"798","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"799","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"800","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"801","(4) 76 percent or more","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"802","(3) 51 to 75 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"803","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"804","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(3) Once or twice a week","(5) Not at all"
"805","(3) 51 to 75 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"806","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"807","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"808","(1) 25 percent or less","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"809","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"810","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"811","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"812","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"813","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"814","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"815","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"816","(3) 51 to 75 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"817","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"818","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"819","(4) 76 percent or more","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"820","(4) 76 percent or more","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"821","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"822","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"823","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"824","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"825","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"826","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"827","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"828","(4) 76 percent or more","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"829","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all"
"830","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"831","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"832","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"833","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"834","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"835","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"836","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"837","(2) 26 to 50 percent","(1) Every day","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"838","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"839","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"840","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"841","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"842","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"843","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"844","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"845","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"846","(2) 26 to 50 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"847","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"848","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"849","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"850","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"851","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"852","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"853","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"854","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"855","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"856","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"857","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"858","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"859","(3) 51 to 75 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"860","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"861","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"862","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"863","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"864","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"865","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"866","(4) 76 percent or more","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"867","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"868","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"869","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"870","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"871","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"872","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"873","(3) 51 to 75 percent","(5) Not at all","(4) Less than once a week","(5) Not at all","(5) Not at all"
"874","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"875","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"876","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"877","(4) 76 percent or more","(3) Once or twice a week","(1) Every day","(5) Not at all","(5) Not at all"
"878","(1) 25 percent or less","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"879","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"880","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"881","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"882","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"883","(4) 76 percent or more","(1) Every day","(1) Every day","(5) Not at all","(5) Not at all"
"884","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"885","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"886","(2) 26 to 50 percent","(2) 3 or 4 times a week","(1) Every day","(5) Not at all","(3) Once or twice a week"
"887","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"888","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"889","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"890","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"891","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"892","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"893","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"894","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"895","(3) 51 to 75 percent","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"896","(2) 26 to 50 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"897","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"898","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"899","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"900","(3) 51 to 75 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"901","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(5) Not at all"
"902","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"903","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"904","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"905","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(4) Less than once a week","(5) Not at all"
"906","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"907","(1) 25 percent or less","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"908","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"909","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"910","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"911","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"912","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"913","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"914","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"915","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"916","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"917","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"918","(2) 26 to 50 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"919","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"920","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"921","(2) 26 to 50 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"922","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"923","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"924","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"925","(1) 25 percent or less","(1) Every day","(1) Every day","(5) Not at all","(4) Less than once a week"
"926","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"927","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"928","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"929","(1) 25 percent or less","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"930","(2) 26 to 50 percent","(5) Not at all","(1) Every day","(5) Not at all","(5) Not at all"
"931","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"932","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"933","(4) 76 percent or more","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"934","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"935","(3) 51 to 75 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"936","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"937","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"938","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"939","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"940","(1) 25 percent or less","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"941","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"942","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"943","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"944","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"945","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"946","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"947","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"948","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"949","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"950","(4) 76 percent or more","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"951","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"952","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"953","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"954","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"955","(3) 51 to 75 percent","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"956","(3) 51 to 75 percent","(4) Less than once a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"957","(1) 25 percent or less","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"958","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"959","(2) 26 to 50 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"960","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"961","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"962","(3) 51 to 75 percent","(3) Once or twice a week","(5) Not at all","(5) Not at all","(5) Not at all"
"963","(2) 26 to 50 percent","(5) Not at all","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"964","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"965","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"966","(4) 76 percent or more","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"967","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"968","(4) 76 percent or more","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"969","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"970","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"971","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"972","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"973","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"974","(4) 76 percent or more","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"975","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"976","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"977","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(4) Less than once a week"
"978","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"979","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"980","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"981","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"982","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"983","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"984","(3) 51 to 75 percent","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"985","(3) 51 to 75 percent","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"986","(3) 51 to 75 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"987","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"988","(1) 25 percent or less","(2) 3 or 4 times a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
